iter	RMSE
0	0.3911729248
1	0.3891014537
2	0.3869411262
3	0.3849099613
4	0.3829559238
5	0.3809960885
6	0.3790611697
7	0.377095728
8	0.3751331989
9	0.3731400283
10	0.3712671996
11	0.3693535892
12	0.3674371602
13	0.3655352592
14	0.3636833847
15	0.3618417535
16	0.3600358876
17	0.3582979378
18	0.356464793
19	0.3547117087
20	0.3529424676
21	0.3510514444
22	0.3492016708
23	0.3475023387
24	0.3459193996
25	0.3442256947
26	0.3427650136
27	0.3410475944
28	0.3392639801
29	0.3376213688
30	0.3359050873
31	0.3341009684
32	0.3323783271
33	0.330743467
34	0.3290326682
35	0.3273768546
36	0.3259132742
37	0.324322064
38	0.3226869775
39	0.3212479797
40	0.3195931799
41	0.31811535
42	0.3166746818
43	0.3151024825
44	0.3135705045
45	0.3120458966
46	0.3106198789
47	0.3091997021
48	0.3077162189
49	0.306213324
50	0.3048151855
51	0.3033967575
52	0.301923771
53	0.3005364118
54	0.2990504482
55	0.2976399761
56	0.2962692746
57	0.2949149623
58	0.2935105469
59	0.292177273
60	0.2907868857
61	0.2894280974
62	0.2880775486
63	0.286815961
64	0.2855340151
65	0.2841931407
66	0.282840267
67	0.2815475745
68	0.280332926
69	0.2791025997
70	0.2779022063
71	0.2767785277
72	0.2755864328
73	0.274387155
74	0.2731302123
75	0.27184942
76	0.2707163582
77	0.2695066378
78	0.2683483321
79	0.2671794711
80	0.2659713172
81	0.2648763014
82	0.2637939786
83	0.2626980714
84	0.2616549328
85	0.2605333528
86	0.2594152521
87	0.2583355898
88	0.2572266
89	0.2560920146
90	0.2549824071
91	0.2539870405
92	0.2528541345
93	0.2518482874
94	0.2508187388
95	0.2498042398
96	0.2487557363
97	0.2477249356
98	0.2466455028
99	0.2457049307
100	0.2446812908
101	0.2436747617
102	0.2426559638
103	0.2416029089
104	0.2406020124
105	0.2396164957
106	0.2386877717
107	0.2378161027
108	0.2368892333
109	0.235956562
110	0.2350484823
111	0.2341126698
112	0.2331421204
113	0.232232973
114	0.2312799805
115	0.2303804881
116	0.2294915061
117	0.2286048015
118	0.2277530945
119	0.2268883327
120	0.2260081372
121	0.2251187967
122	0.2242414879
123	0.2234295286
124	0.2226022972
125	0.2217272774
126	0.2208615389
127	0.2200761037
128	0.2192763376
129	0.2185970934
130	0.2178388074
131	0.217023897
132	0.2162825537
133	0.2155215077
134	0.2147444451
135	0.2139737312
136	0.2132198294
137	0.2125312421
138	0.2118590918
139	0.2110796895
140	0.2103203208
141	0.2095655652
142	0.2088822109
143	0.2081360388
144	0.2074459481
145	0.206769614
146	0.2060682053
147	0.2054147613
148	0.204726232
149	0.2040600444
150	0.2033268184
