iter	Passed	Remaining
0	7	15445
1	15	15877
2	24	16077
3	32	16076
4	40	16176
5	49	16402
6	57	16365
7	65	16345
8	73	16308
9	81	16241
10	89	16134
11	97	16192
12	106	16204
13	114	16276
14	122	16249
15	130	16191
16	138	16138
17	145	16059
18	153	16000
19	161	15976
20	169	15970
21	177	15940
22	184	15877
23	192	15845
24	200	15821
25	208	15794
26	217	15863
27	224	15826
28	233	15880
29	242	15900
30	251	15991
31	259	15967
32	267	15956
33	275	15915
34	283	15902
35	291	15880
36	298	15838
37	306	15821
38	314	15833
39	322	15821
40	331	15835
41	339	15825
42	347	15797
43	355	15811
44	363	15793
45	372	15821
46	380	15793
47	388	15787
48	396	15805
49	405	15814
50	416	15911
51	427	16013
52	438	16090
53	448	16145
54	458	16198
55	467	16213
56	475	16223
57	485	16243
58	494	16273
59	502	16256
60	511	16245
61	520	16276
62	529	16272
63	540	16336
64	549	16350
65	558	16360
66	567	16379
67	577	16397
68	587	16443
69	597	16475
70	607	16505
71	615	16490
72	624	16478
73	632	16460
74	642	16478
75	650	16473
76	659	16465
77	667	16437
78	675	16416
79	682	16388
80	692	16395
81	701	16416
82	710	16399
83	719	16405
84	727	16386
85	737	16414
86	746	16408
87	755	16413
88	763	16395
89	772	16400
90	780	16381
91	789	16374
92	797	16350
93	805	16337
94	813	16306
95	820	16278
96	828	16244
97	836	16242
98	846	16259
99	860	16340
100	867	16312
101	876	16314
102	886	16323
103	895	16331
104	905	16333
105	913	16326
106	925	16380
107	936	16400
108	945	16399
109	956	16430
110	965	16432
111	974	16426
112	983	16423
113	991	16409
114	1000	16405
115	1009	16393
116	1018	16384
117	1026	16378
118	1035	16367
119	1044	16364
120	1052	16348
121	1060	16330
122	1069	16317
123	1077	16304
124	1085	16287
125	1094	16275
126	1102	16262
127	1111	16250
128	1119	16238
129	1128	16228
130	1137	16222
131	1144	16199
132	1152	16178
133	1160	16159
134	1168	16147
135	1176	16125
136	1183	16099
137	1192	16087
138	1199	16065
139	1207	16044
140	1215	16021
141	1222	16000
142	1230	15977
143	1238	15956
144	1245	15933
145	1254	15924
146	1261	15904
147	1268	15871
148	1278	15886
149	1288	15895
150	1297	15882
151	1305	15872
152	1314	15866
153	1322	15851
154	1329	15829
155	1337	15804
156	1344	15782
157	1352	15762
158	1359	15743
159	1366	15716
160	1374	15697
161	1381	15675
162	1389	15660
163	1396	15639
164	1404	15620
165	1413	15616
166	1422	15609
167	1430	15601
168	1439	15597
169	1448	15588
170	1456	15574
171	1465	15570
172	1473	15562
173	1481	15549
174	1490	15544
175	1499	15542
176	1508	15536
177	1516	15520
178	1523	15503
179	1531	15490
180	1539	15472
181	1547	15454
182	1555	15441
183	1563	15429
184	1571	15416
185	1579	15401
186	1587	15390
187	1595	15379
188	1603	15368
189	1612	15356
190	1619	15341
191	1627	15327
192	1635	15314
193	1643	15300
194	1651	15289
195	1659	15275
196	1668	15267
197	1674	15236
198	1682	15226
199	1690	15218
200	1698	15203
201	1706	15191
202	1716	15194
203	1724	15183
204	1733	15180
205	1742	15175
206	1752	15178
207	1761	15172
208	1768	15158
209	1776	15142
210	1784	15127
211	1791	15113
212	1799	15101
213	1808	15089
214	1816	15084
215	1825	15073
216	1832	15059
217	1840	15045
218	1848	15029
219	1855	15015
220	1863	15000
221	1871	14987
222	1879	14974
223	1886	14957
224	1895	14952
225	1903	14942
226	1911	14932
227	1919	14914
228	1926	14901
229	1934	14884
230	1941	14869
231	1948	14848
232	1955	14828
233	1962	14810
234	1971	14804
235	1978	14791
236	1986	14777
237	1993	14761
238	2001	14745
239	2008	14731
240	2015	14714
241	2023	14698
242	2030	14684
243	2037	14665
244	2045	14655
245	2053	14645
246	2061	14632
247	2069	14617
248	2076	14602
249	2083	14586
250	2090	14567
251	2097	14550
252	2104	14531
253	2112	14522
254	2119	14506
255	2127	14492
256	2135	14481
257	2143	14470
258	2150	14456
259	2157	14439
260	2164	14422
261	2171	14406
262	2178	14390
263	2186	14379
264	2194	14365
265	2202	14355
266	2209	14343
267	2218	14334
268	2227	14332
269	2236	14331
270	2245	14327
271	2253	14319
272	2262	14312
273	2270	14301
274	2277	14285
275	2284	14269
276	2291	14251
277	2298	14237
278	2305	14223
279	2313	14209
280	2320	14198
281	2328	14186
282	2336	14174
283	2344	14163
284	2351	14152
285	2359	14140
286	2366	14125
287	2374	14114
288	2382	14105
289	2389	14092
290	2398	14086
291	2406	14074
292	2413	14060
293	2421	14051
294	2428	14036
295	2436	14026
296	2443	14012
297	2450	13998
298	2458	13984
299	2462	13952
300	2468	13936
301	2475	13920
302	2482	13905
303	2490	13892
304	2497	13877
305	2503	13861
306	2511	13851
307	2519	13841
308	2526	13826
309	2534	13815
310	2542	13806
311	2549	13793
312	2557	13782
313	2564	13772
314	2572	13762
315	2580	13753
316	2587	13738
317	2594	13724
318	2602	13714
319	2609	13701
320	2616	13686
321	2624	13675
322	2631	13664
323	2637	13642
324	2644	13629
325	2652	13622
326	2660	13613
327	2669	13605
328	2676	13595
329	2684	13586
330	2693	13580
331	2701	13570
332	2708	13556
333	2716	13550
334	2724	13539
335	2731	13528
336	2738	13515
337	2748	13515
338	2757	13512
339	2766	13507
340	2774	13498
341	2782	13489
342	2790	13479
343	2797	13468
344	2805	13458
345	2813	13451
